drink water,sip, guzzle, gulp, swig, chug, quaff, swill, slug, chug down, toss back
eat meal,dine, sup, lunch, feast, banquet, picnic, breakfast, brunch, dinner, lunch
brush teeth,scrub teeth, clean teeth, polish teeth, rinse teeth, gargle, floss, brush gums, brush tongue, clean palate, clean throat
brush hair,comb, stroke, smooth, pet, groom, tidy, clean, launder, wash, rinse
drop,drip, fall, leak, plunge, pour, rain, run, shower, trickle, waterfall
pick up,pick up, take up, take, lift, bring, fetch, carry, convey, transport, retrieve
throw,cast, hurl, lob, pitch, sling, toss, fling, heave, chuck, jettison
sit down,take a seat, have a seat, sit, sit down, take a load off, take it easy, plop down, flop down, park it, sit your butt down
stand up,arise, get up, wake up, be up, sit up, stand up, get out of bed, be out of bed, be awake, be up and about
clapping,applauding, cheering, clapping, crying, laughing, screaming, shouting, sobbing, stamping, whistling
reading,perusing, scanning, poring over, leafing through, thumbing through, browsing, flipping through, glancing at, skimming, flipping
writing,composing, penning, scribing, chronicling, inditing, composing, drafting, writing out, putting down, setting out
tear up paper,Tear, shred, rip, cut, slit, split, destroy, annihilate, decimate, obliterate
put on jacket,don, donned, dons, donning, puts on, putting on, put on, putting, show, showed
take off jacket,remove jacket, take jacket off, divest oneself of jacket, unburden oneself of jacket, get rid of jacket, be rid of jacket, dispose of jacket, get jacket off, shed jacket, slip off jacket
put on a shoe,boot, lace up, slip on, step into, strap on, tie, tuck in, zip up, don, fasten
take off a shoe,remove a shoe, take a shoe off, slip a shoe off, ease a shoe off, tug a shoe off, lift a shoe off, pull a shoe off, push a shoe off, slip off a shoe, get a shoe off
put on glasses,don eyeglasses, don specs, don spectacles, don glasses, don goggles, don binoculars, don monocle, don telescopes, don microscopes, don lorgnette
take off glasses,remove glasses, take glasses off, put glasses away, put glasses down, set glasses aside, take off spectacles, remove spectacles, put spectacles away, put spectacles down, set spectacles aside
put on a hat/cap,don a hat, don a cap, put on a hat, put on a cap, don a chapeau, put on a chapeau, don a headgear, put on a headgear, don a lid, put on a lid
take off a hat/cap,doff, tip, remove, bare, uncover, unveil, uncloak, disrobe, divest, strip
cheer up,encourage, embolden, hearten, rally, strengthen, umpire, support, inspire, comfort, console
hand waving,flapping, gesticulating, motioning, pointing, signaling, swaying, sweeping, throwing up, waving, windmilling
kicking something,boot, strike, bang, tap, thump, whack, poke, prod, punch, nudge
reach into pocket,dip into pocket, delve into pocket, fish in pocket, fish out of pocket, grope in pocket, poke in pocket, root in pocket, rummage in pocket, search in pocket, feel in pocket
hopping,jumping, leaping, springing, skipping, bounding, gamboling, frolicing, cavorting, capering, prancing
jump up,leap, bound, spring, vault, hop, skip, caper, gambol, frisk, frolic
phone call,phone conversation, phone chat, teleconference, telephone call, videoconference
play with phone/tablet,fiddle with, toy with, dally with, trifle with, flirt with, mess with, monkey with, tamper with, meddle with, interfere with
type on a keyboard,type, key, stroke, peck, press, hit, thump, bang, tap, touch
point to something,indicate, refer to, suggest, mean, imply, allude to, show, demonstrate, indicate, signal
taking a selfie,self-portrait, picture, image, photo, snapshot, headshot, close-up, mug shot, profile, selfie
check time (from watch),timepiece, clock, watch, chronometer, timer, stopwatch, wristwatch, timekeeper, regulator, schedule
rub two hands,caress, fondle, massage, pet, stroke, touch, feel, handle, grope, paw
nod head/bow,Dip, duck, lower, bow, curtsy, bob, incline, tip, jerk, nod
shake head,Nod, Waggle, Jerk, Jiggle, Tremble, Quiver, Twirl, Vibrate, Flick, Flutter
wipe face,cleanse, exfoliate, remove makeup, hydrate, tone, moisturize, nourish, brighten, protect, refresh
salute,greeting, hail, welcome, bow, curtsy, handshake, nod, wave, smile, embrace
put palms together,clasp hands, join hands, unite hands, entwine fingers, interlace fingers, press hands, touch fingers, pat hands, tap hands, hold hands
cross hands in front,clasp hands, wring hands, entwine fingers, fold hands, grip hands, hold hands, interlace fingers, link hands, shake hands, thread fingers
sneeze/cough,sniffle, hiccup, gasp, wheeze, burp, yawn, grunt, groan, belch, sneeze
staggering,bewildering, confounding, disorienting, dizzying, perplexing, puzzling, staggering, stupefying, staggering, stunning
falling down,Falling, tumbling, toppling, plummeting, nosediving, hurtling, plunging, free-falling, tumbling down, falling down.
headache,Migraine, Tension headache, Cluster headache, Sinus headache, Exertion headache, Hypertension headache, Low pressure headache, Rebound headache, Hormone headache, Caffeine headache
chest pain,heartburn, acid reflux, GERD, indigestion, stomach ache, abdominal pain, chest congestion, costochondritis, muscle strain, pleurisy
back pain,Soreness, aching, throbbing, shooting, stabbing, cramping, burning, tightness, numbness, tingling
neck pain,stiff neck, sore neck, aching neck, neck ache, neck pain, cervical pain, cervicalgia, torticollis, wry neck, crick in the neck.
nausea/vomiting,sickness, queasiness, discomfort, illness, retching, heaving, gagging, aching, pain, suffering
fan self,admirer, booster, follower, groupie, hound, rooter, supporter, aficionado, enthusiast, buff
punch/slap,hit, strike, slap, tap, clip, belt, whack, bash, buffet, thump
